 

stn;time;gre000z0;tre200s0;sre000z0
STG;202406150000;0;14.2;0
STG;202406150010;0;13.5;0
STG;202406150020;0;13.8;0
STG;202406150030;0;18.0;0
STG;202406150040;0;19.2;0
STG;202406150050;0;18.8;0
STG;202406150100;0;18.7;0
STG;202406150110;0;19.3;0
STG;202406150120;0;14.9;0
STG;202406150130;0;14.3;0
STG;202406150140;0;14.3;0
STG;202406150150;0;13.5;0
STG;202406150200;0;13.4;0
STG;202406150210;0;13.2;0
STG;202406150220;0;13.3;0
STG;202406150230;0;13.3;0
STG;202406150240;0;13.5;0
STG;202406150250;0;13.6;0
STG;202406150300;0;13.7;0
STG;202406150310;0;13.9;0
STG;202406150320;0;13.9;0
STG;202406150330;1;14.0;0
STG;202406150340;0;14.2;0
STG;202406150350;1;13.9;0
STG;202406150400;0;13.7;0
STG;202406150410;0;13.5;0
STG;202406150420;0;12.5;0
STG;202406150430;0;12.1;0
STG;202406150440;4;11.8;0
STG;202406150450;7;11.8;0
STG;202406150500;9;11.9;0
STG;202406150510;20;11.8;0
STG;202406150520;22;11.8;0
STG;202406150530;29;11.7;0
STG;202406150540;42;11.7;0
STG;202406150550;67;11.7;0
STG;202406150600;105;11.8;0
STG;202406150610;102;12.0;0
STG;202406150620;103;12.1;0
STG;202406150630;91;12.2;0
STG;202406150640;85;12.3;0
STG;202406150650;77;12.6;0
STG;202406150700;54;12.5;0
STG;202406150710;60;12.4;0
STG;202406150720;42;12.2;0
STG;202406150730;72;12.2;0
STG;202406150740;80;12.2;0
STG;202406150750;77;12.3;0
STG;202406150800;50;12.1;0
STG;202406150810;39;11.9;0
STG;202406150820;72;12.4;0
STG;202406150830;79;12.5;0
STG;202406150840;55;12.4;0
STG;202406150850;67;12.3;0
STG;202406150900;109;12.3;0
STG;202406150910;98;12.3;0
STG;202406150920;92;12.3;0
STG;202406150930;107;12.2;0
STG;202406150940;116;12.2;0
STG;202406150950;118;12.1;0
STG;202406151000;126;12.1;0
STG;202406151010;203;12.4;0
STG;202406151020;228;12.6;0
STG;202406151030;237;12.4;0
STG;202406151040;285;12.7;0
STG;202406151050;425;13.2;0
STG;202406151100;332;13.1;0
STG;202406151110;371;13.3;0
STG;202406151120;414;13.6;0
STG;202406151130;342;13.8;0
STG;202406151140;398;13.8;0
STG;202406151150;394;13.7;0
STG;202406151200;290;13.8;0
STG;202406151210;378;14.2;0
STG;202406151220;429;14.5;0
STG;202406151230;352;14.1;0
STG;202406151240;252;13.9;0
STG;202406151250;356;14.5;0
STG;202406151300;501;15.2;0
STG;202406151310;433;14.7;0
STG;202406151320;347;14.7;0
STG;202406151330;259;14.6;0
STG;202406151340;237;14.5;0
STG;202406151350;222;14.5;0
STG;202406151400;465;15.7;1
STG;202406151410;353;15.4;0
STG;202406151420;332;15.1;0
STG;202406151430;556;16.6;5
STG;202406151440;377;15.5;1
STG;202406151450;278;15.2;0
STG;202406151500;327;15.4;0
STG;202406151510;306;15.5;0
STG;202406151520;219;15.3;0
STG;202406151530;181;15.2;0
STG;202406151540;195;15.2;0
STG;202406151550;165;15.2;0
STG;202406151600;101;14.9;0
STG;202406151610;218;15.7;0
STG;202406151620;199;15.3;0
STG;202406151630;154;15.2;0
STG;202406151640;115;15.0;0
STG;202406151650;83;14.9;0
STG;202406151700;99;14.9;0
STG;202406151710;64;14.7;0
STG;202406151720;66;14.8;0
STG;202406151730;109;15.2;2
STG;202406151740;223;15.8;7
STG;202406151750;247;16.1;6
STG;202406151800;205;15.8;3
STG;202406151810;136;15.4;0
STG;202406151820;118;15.2;0
STG;202406151830;74;15.1;0
STG;202406151840;53;14.9;0
STG;202406151850;36;14.9;0
STG;202406151900;19;14.5;0
STG;202406151910;14;14.6;0
STG;202406151920;4;14.5;0
STG;202406151930;0;13.9;0
STG;202406151940;0;13.7;0
STG;202406151950;0;14.0;0
STG;202406152000;0;13.9;0
STG;202406152010;0;13.8;0
STG;202406152020;0;14.3;0
STG;202406152030;0;14.2;0
STG;202406152040;0;13.9;0
STG;202406152050;0;13.6;0
STG;202406152100;0;13.9;0
STG;202406152110;0;13.8;0
STG;202406152120;0;13.8;0
STG;202406152130;0;13.7;0
STG;202406152140;0;13.1;0
STG;202406152150;0;13.2;0
STG;202406152200;0;13.1;0
STG;202406152210;0;12.8;0
STG;202406152220;0;12.8;0
STG;202406152230;0;12.6;0
STG;202406152240;0;12.7;0
STG;202406152250;0;13.0;0
STG;202406152300;0;12.9;0
STG;202406152310;0;12.8;0
STG;202406152320;0;12.7;0
STG;202406152330;0;12.6;0
STG;202406152340;0;12.5;0
STG;202406152350;0;12.4;0
STG;202406160000;0;12.5;0
STG;202406160010;0;12.5;0
STG;202406160020;0;12.2;0
STG;202406160030;0;11.8;0
